1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,8,16,23,24,32,36,44,57,69,91,100,118,132,141,149,161,180,188,199,203,207,217,231,237,248,257,281,306,312,328,349,372,377,389,401,410,415,420,443,
206.6,204.3,200.3,194.9,193.9,180.3,180.3,175.3,170.9,165.6,161.5,159.7,160.5,161.5,165.7,166.1,168.7,168.5,169.9,168.2,165.6,163.3,161.5,160.4,158.8,159,158.8,158.5,155.7,156.7,157,157.7,158.3,159,158.5,161.5,167.1,176.3,180.8,185,202.3,
2,870,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,31,48,59,70,74,75,81,88,93,105,118,129,136,146,149,151,170,183,198,205,220,245,261,283,295,304,311,317,328,335,345,351,356,365,,,,,,
204.8,200.6,198.7,195.1,192.1,190.1,187.4,183,183,177.2,174.9,169.1,164.8,164.2,162.3,159.7,159.3,157.3,154.3,155.3,157.3,157.6,158.8,159.6,160.3,160.6,160.3,159.9,162.3,166.2,171.3,174.1,186.3,193.8,197.2,202.2,,,,,,
3,1020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,23,29,40,41,51,55,64,75,80,101,126,139,153,158,179,198,210,218,222,223,233,238,243,250,252,257,261,265,267,277,,,,,,,,,,
207.7,197.4,194.8,183.1,182.7,182.7,174.8,170.5,163,160.5,159.8,158.5,158,157.5,156.4,156,154,153,154.5,156.5,157.2,163,168.4,173.5,177.8,183,186.9,195,197.6,200.5,202,209.7,,,,,,,,,,
4,1610,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,13,15,18,26,32,40,49,64,83,93,98,113,133,135,156,177,180,197,220,233,242,248,259,261,272,282,289,291,298,305,,,,,,,,,,
206.9,202.2,198.1,197.3,186.3,186.2,177.9,172.2,166.5,163.8,163.1,162.6,162.9,162.5,160.1,159.7,160.1,158.6,158.4,157.6,156.8,156.8,159,159.7,163.1,165.9,171.1,175.4,184.9,190.9,198.6,208.1,,,,,,,,,,
5,2020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,26,36,45,54,56,61,68,69,74,79,88,95,101,103,106,120,127,134,143,145,161,166,184,188,207,223,244,259,271,277,284,292,301,306,310,,,,,
208.4,203.4,201.1,198.5,183.6,183.6,180.2,176.9,173.9,170.6,166.9,162.7,160.2,155.7,152.7,152.7,151.7,152.2,152.2,152.2,154.9,155.2,158.4,158.4,161.7,162.7,164.9,166,166.7,170,174,176.5,182.2,188.3,194.3,199.4,203.3,,,,,
6,1930,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,28,43,53,62,68,75,75.1,89,104,123,140,156,171,183,198,213,222,235,245,264,286,287,303,319,331,344,351,359,368,375,382,388,393,396,399,409,417,,,
210,205.1,201.9,197.8,193.3,189.8,186.5,186.7,184.1,178.6,174.6,171.3,169.7,168.5,167.4,166.6,165.2,163.2,162.4,161.3,161.2,158.7,155,155,160.7,161,162.9,165.2,161.7,169.7,174.6,178.5,180.8,184.1,187.4,192.4,194.2,199.8,204.7,,,
7,1590,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,9,17,20,32,33,37,41,49,58,61,74,79,96,121,126,136,154,167,172,179,196,208,227,227.1,246,264,279,301,310,328,347,356,364,369,378,383,392,398,405,418
210.1,208.3,194.1,193.5,188.3,182.2,180.4,177.3,174.3,170.6,166.8,164.9,161.6,161.7,160.9,160.9,160.9,160.9,161,161.9,161.9,162.1,163.4,164.2,164.9,165.1,166.2,167.3,166.8,166.8,169.3,171.9,175.1,178,182.8,187.8,188.1,194.2,200.5,202.9,204.2,210.4
8,1590,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,18,27,37,45,55,60,71,88,99,112,132,142,162,179,197,218,238,259,272,290,299,323,348,355,361,374,378,386,387,392,393,394,,,,,,,,
209.3,203.5,199.1,199,188.1,188.2,181.8,176.1,173.3,168.5,165.4,164.1,164.5,164.8,165.3,165.2,163.9,163.9,164.1,164.2,164.1,163.4,163.4,163.4,165.4,168.8,172.3,183.1,186.3,186.3,195.3,201.4,204.9,207.2,,,,,,,,
9,970,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.9,9,12,13,24,38,45,60,79,98,113,140,167,184,206,217,239,256,280,292,304,310,320,331,339,342,345,351,,,,,,,,,,,,,
206.2,203.6,199.6,194,187.3,186.7,180.3,173.5,167.6,167.3,167.3,167.2,166.4,165.9,165.6,164.6,163.2,162.2,161.6,163.6,164.2,167.6,171.9,176.6,186.3,186.3,197.1,202.3,205.9,,,,,,,,,,,,,
10,950,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,18,23,32,43,58,73,85,104,117,139,146,154,172,177,188,214,229,244,253,276,293,306,324,333,352,364,377,382,383,390,,,,,,,,,,
206.3,201.9,199.1,187.9,187.6,180,171.5,167.4,166.7,165.7,165.2,165.1,165.4,165.5,165.4,165.4,165.4,165.1,164.5,163.6,163.9,162.4,163,164.9,167.4,170.9,184.4,191.3,191.5,199.4,203.3,214.4,,,,,,,,,,
11,1310,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,10,17,22,23,29,36,42,50,57,62,80,94,109,130,139,153,177,193,220,231,242,250,269,289,300,310,324,342,346,356,362,379,,,,,,,,
210.1,204.3,199.7,195.1,188.8,185.1,185.1,180.1,176.5,172,167.9,164.3,162.9,163.5,164.5,164.7,164.9,165.3,165.5,165.1,164.9,164.9,165.3,165.5,165.3,165.1,167.9,171.6,177.7,190.3,192.9,193,205.9,215,,,,,,,,
12,1310,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,37,51,53,62,64,70,89,92,106,115,129,151,174,197,213,226,238,250,270,279,283,301,314,328,350,363,374,389,402,411,413,,,,,,,,,
216,209.9,207,205,201.8,196,191.9,188.5,188.7,181.9,175.6,174.3,173.3,172,171.1,170,169.1,168.4,167.8,166.9,166.1,165.9,164.4,163,162.9,162.8,162,163.4,168.4,180,193.9,194,206.7,,,,,,,,,
13,1560,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,16,24,27,37,44,57,68,71,78,91,109,116,137,157,161,177,189,194,213,229,247,269,276,292,312,328,341,351,359,362,367,373,380,,,,,,,
210.3,204.1,201.6,196.4,195.6,186.7,186.6,177.5,170,169,168.5,168.5,168.4,168.3,167.9,167.7,167.2,167.1,166.9,167,166,166.7,166.5,166.3,166.1,165.4,169,174.9,183.4,189.8,189.7,194.5,199.7,204.7,208.3,,,,,,,
14,1540,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,20,24,32,45,64,73,86,94,102,111,120,141,154,172,207,232,258,281,302,326,333,342,357,379,381,390,411,426,431,436,448,459,470,478,481,,,,,
207,199,198,188.3,188.1,180.7,171.5,172.4,170.6,170.3,169.8,169.9,170.2,170.5,170.8,171.1,171.9,172.1,172.2,171.8,172,171.6,169.7,166.9,165.6,164.3,164.3,163.7,165.8,169.7,173.3,176.2,185.8,192.9,192.9,201.5,206.4,,,,,
15,1200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,25,35,48,63,80,86,97,119,130,141,150,162,182,191,202,209,229,236,251,271,287,305,329,341,355,363,375,377,,,,,,,,,,,,
205.9,192,191.8,184.6,178.1,173.9,170.8,169.5,168.3,166.8,164.2,165,164.8,166.7,167.2,167.6,167.9,167.9,168.1,168.6,169.8,170.8,171.4,171.4,173.9,183.3,194.1,193.9,205,206.9,,,,,,,,,,,,
16,1320,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,30,37,40,49,60,71,90,106,127,145,162,188,195,212,226,250,264,274,290,299,321,336,351,354,371,380,390,396,405,413,416,430,,,,,,,,
205.9,198,193.3,193.3,192.7,192.8,188.8,183.8,179.1,176.4,173.1,171.7,170.8,169.2,168.2,168,167.8,167.6,166.8,166.3,166.7,166.3,167.6,166.8,168.3,168.2,170.8,173.3,178,185.7,194.3,194.3,198.6,209.7,,,,,,,,
17,1070,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,17,22,32,42,51,59,70,91,109,119,135,142,149,169,179,200,227,247,262,270,285,292,310,330,352,364,373,382,,,,,,,,,,,,
206.3,199.5,190.6,184.7,184.7,180.3,175.4,170.6,168.1,168.1,167.5,167.3,167.4,167.6,168.1,169.3,169.5,170,170.6,170.9,170.6,170.1,169.6,169,170.6,178.4,190.9,200.3,200.4,208.1,,,,,,,,,,,,
18,1060,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,20,25,37,43,45,57,58,73,91,117,145,171,197,222,247,271,291,301,306,341,354,382,402,420,424,429,441,451,464,465,470,479,484,488,,,,,,
207.9,205.1,200.8,195.1,191.7,191.6,191.7,186.8,185.6,179.4,178.4,178.3,178.1,177.6,177,176.3,174.9,172.8,170.7,169.5,170,167.3,166.1,166.1,166.9,167.1,170.7,175.1,178,181.5,191.5,194.6,197.3,197,201.5,208,,,,,,
19,950,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,17,25,29,35,47,53,57,67,83,101,119,131,153,181,205,229,255,269,275,301,309,319,337,359,378,405,406,422,423,422,435,,,,,,,,,
211.3,208.5,192.5,192.9,188.1,182.4,177.1,174,171.9,170.4,169.8,170,170.7,170.9,170.3,170.4,171.2,171.4,171.3,170.6,171.3,170.9,170.7,169.4,171.8,172.1,178.2,187.1,192.4,192.5,195.3,198,205.7,,,,,,,,,
20,1150,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,18,22,28,39,52,64,79,99,114,137,160,191,201,234,256,270,298,304,315,316,330,331,337,338,339,340,349,350,,,,,,,,,,,,
213.5,193.8,193.5,193.7,185.9,177.1,172,169.6,168.8,168.5,168.9,169.4,170.3,171.1,171,171.6,171.7,172,177.1,180.1,186.7,192.3,193.4,193.6,193.6,194.5,194.5,202.5,202.5,205.8,,,,,,,,,,,,
